"","ZIPCODE","density"
"254","11436",8.23
"176","11213",21.07
"175","11212",19.98
"188","11225",23.85
"181","11218",19.6
"189","11226",26.93
"182","11219",22.04
"173","11210",14.01
"192","11230",16.2
"167","11204",17.76
"147","10471",2.62
"146","10470",6.84
"142","10466",12.48
"143","10467",14.12
"136","10463",19.25
"151","10475",10.59
"140","10464",0.58
"145","10469",9.57
"144","10468",21.16
"137","10463",226.44
"131","10458",22.06
"36","10034",15.98
"35","10033",33.6
"135","10462",14.27
"43","10040",25.11
"126","10453",30.13
"141","10465",3.87
"138","10464",9.83
"139","10464",3.83
"134","10461",8.05
"130","10457",18.66
"133","10460",16.12
"34","10032",24.87
"125","10452",27.62
"129","10456",29.86
"148","10472",21.43
"33","10031",33.73
"42","10039",28.78
"132","10459",20.75
"124","10451",15.25
"149","10473",9.79
"32","10030",34.44
"29","10027",23.75
"150","10474",3.02
"128","10455",20.07
"40","10037",23.55
"26","10024",25.58
"127","10454",12.06
"28","10026",30.93
"38","10035",22.58
"50","10048",0
"27","10025",48.93
"208","11357",5.03
"31","10029",33.75
"1","00083",0.01
"207","11356",5.4
"210","11359",0
"211","11360",4.89
"162","11105",7.56
"74","10128",50.63
"25","10023",41.28
"214","11363",2.91
"30","10028",48.29
"205","11354",9.44
"159","11102",17.76
"221","11370",17.2
"23","10021",43.16
"209","11358",6.91
"213","11362",3.24
"46","10044",18.52
"220","11369",12.68
"160","11103",18.91
"163","11106",16.2
"219","11368",15.05
"228","11377",12.65
"206","11355",16.77
"158","11101",3.32
"215","11364",4.03
"20","10018",5.14
"22","10020",0
"154","11005",3.89
"19","10017",16.25
"2","10001",12.6
"14","10011",27.92
"18","10016",36.3
"161","11104",22.45
"164","11109",47.35
"13","10010",30.59
"218","11367",5.74
"17","10014",22.14
"4","10003",35.96
"185","11222",8.48
"3","10002",30.94
"229","11378",5.35
"12","10009",38.64
"15","10012",26.4
"16","10013",17.96
"11","10007",13.74
"200","11237",17.99
"231","11385",7.89
"41","10038",27.24
"169","11206",20.53
"10","10006",17.54
"233","11412",7.64
"9","10005",38.92
"204","11251",0.07
"5","10004",5.46
"232","11411",5.08
"165","11201",12.91
"6","10004",18.18
"168","11205",17.67
"171","11208",11.9
"170","11207",12.65
"7","10004",2.85
"8","10004",32.61
"234","11413",4.56
"180","11217",16.91
"201","11238",15.86
"194","11231",8.42
"243","11422",5.01
"241","11420",7.2
"238","11417",9.18
"178","11215",10.22
"193","11231",472.15
"195","11232",5.28
"249","11430",0
"166","11203",12.87
"202","11239",3.01
"199","11236",9.8
"183","11220",20.5
"112","10301",3.84
"114","10303",3.31
"197","11234",4.16
"113","10302",6.13
"261","11693",2.38
"172","11209",11.97
"115","10304",4.23
"123","10314",1.8
"190","11228",9.81
"156","11096",0.97
"116","10305",3.75
"191","11229",13.24
"177","11214",14.58
"256","11691",7.18
"157","11096",13.13
"186","11223",13.6
"260","11693",72.35
"257","11692",7.51
"198","11235",11.02
"259","11693",9.01
"117","10306",3.19
"262","11694",4.19
"187","11224",10.62
"119","10308",4.4
"263","11697",0.68
"122","10312",3.46
"120","10309",1.53
"118","10307",3.06
"107","10280",14.19
"224","11372",33.05
"153","11004",5.21
"155","11040",3.75
"245","11426",4.04
"216","11365",5.84
"152","11001",4.31
"227","11375",12.33
"246","11427",5.56
"226","11374",16.96
"217","11366",6.47
"244","11423",6.71
"247","11428",8.58
"250","11432",10.32
"230","11379",6.15
"248","11429",6.35
"253","11435",12.68
"236","11415",11.3
"239","11418",11.43
"251","11433",7.05
"255","11451",0
"184","11221",20.8
"242","11421",16.05
"240","11419",15.04
"252","11434",6.64
"179","11216",20.34
"237","11416",13.48
"196","11233",17.62
"51","10055",3.22
"21","10019",22.29
"65","10111",0
"77","10153",0
"78","10154",0
"76","10152",0
"67","10115",0
"24","10022",26.03
"222","11370",22.31
"52","10065",29.24
"54","10075",52.4
"53","10069",24.66
"108","10281",42.03
"109","10282",26.48
"174","11211",15.04
"225","11373",23.74
"106","10279",0
"82","10165",0
"85","10168",0
"61","10105",0
"68","10118",0
"93","10176",0
"87","10170",0
"66","10112",0
"72","10122",0
"63","10107",0
"59","10103",0
"91","10174",0
"83","10166",0
"86","10169",0
"84","10167",0
"94","10177",0
"89","10172",0
"88","10171",0
"102","10270",0
"60","10104",0
"103","10271",0
"64","10110",0
"92","10175",0
"75","10151",0
"90","10173",0
"95","10178",0
"71","10121",0
"73","10123",0
"62","10106",0
"80","10158",0
"44","10041",0
"70","10120",0
"105","10278",0
"79","10155",0
"45","10043",0
"56","10081",0
"57","10096",0
"58","10097",0
"96","10196",0
"97","10196",0
"104","10275",0
"101","10265",0
"47","10045",0
"49","10047",0
"48","10047",0
"55","10080",0
"98","10203",0
"99","10259",0
"100","10260",0
"110","10285",0
"111","10286",0
"37","10035",14.85
"223","11371",0
"212","11361",5.68
"39","10036",20.66
"235","11414",4.09
"121","10310",4.68
"258","11693",31.6
"203","11249",16.03
"81","10162",0
"69","10119",0
