"","ZIPCODE","POPULATION","AREA","COUNTY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","density"
"254","11436",18681,22699295.4594145,"Queens",NA,NA,NA,NA,NA,NA,NA,202.5,237.166666666667,282.166666666667,347.083333333333,377.916666666667,359.75,302.5,277.5,252.833333333333,259.384615384615,269.333333333333,291.833333333333,304.916666666667,341.5,366.8,8.23
"176","11213",62426,29631004.437939,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.857142857143,270.083333333333,287.538461538462,328.25,351.333333333333,425.083333333333,491.416666666667,542.4,21.07
"175","11212",83866,41972104.0714198,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,220.571428571429,243.333333333333,297.166666666667,315.416666666667,315.25,296.083333333333,257.75,244.833333333333,240,248.083333333333,252,267.416666666667,288.25,330.2,19.98
"188","11225",56527,23698630.1249252,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315.285714285714,313.5,335.153846153846,383.916666666667,455.833333333333,538.25,597.083333333333,619.6,23.85
"181","11218",72280,36868798.9897562,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6
"189","11226",106132,39408598.2790117,"Kings",NA,NA,NA,NA,NA,NA,NA,194,229.166666666667,246.083333333333,305.75,335.916666666667,342.916666666667,320.666666666667,322.75,323.5,330.076923076923,357.083333333333,389.416666666667,440.5,500.666666666667,529.4,26.93
"182","11219",92561,42002738.4672304,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.571428571429,346.75,352.461538461538,381.583333333333,406.083333333333,441.583333333333,483.5,545,22.04
"173","11210",67067,47887022.9921604,"Kings",NA,NA,NA,NA,NA,NA,NA,241,289,316.416666666667,363.666666666667,363.833333333333,358.583333333333,328.666666666667,312.166666666667,314,313.846153846154,329.166666666667,354,395.833333333333,433.083333333333,476.4,14.01
"192","11230",80857,49926703.3933172,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2
"167","11204",77354,43555184.613285,"Kings",NA,NA,NA,NA,NA,NA,NA,233,288.5,301.75,353.25,352.833333333333,353,345.25,366.416666666667,365.916666666667,367.153846153846,394.333333333333,430.416666666667,466.666666666667,499.5,542.4,17.76
"147","10471",23477,89651407.0583499,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62
